LandisData   "Ecoregions"

>>      	Map
>> 	Active  Code	Name   Description
>> 	------  ---- 	-----  -----------
         yes    13097    eco13.1702000806    "PWG:13; HUC:1702000806"
         yes    13098    eco13.1702000807    "PWG:13; HUC:1702000807"
         yes    13099    eco13.1702000901    "PWG:13; HUC:1702000901"
         yes    13100    eco13.1702000903    "PWG:13; HUC:1702000903"
         yes    14101    eco14.1702000209    "PWG:14; HUC:1702000209"
         yes    14102    eco14.1702000212    "PWG:14; HUC:1702000212"
         yes    14103    eco14.1702000401    "PWG:14; HUC:1702000401"
         yes    14104    eco14.1702000402    "PWG:14; HUC:1702000402"
         yes    14105    eco14.1702000501    "PWG:14; HUC:1702000501"
         yes    14106    eco14.1702000502    "PWG:14; HUC:1702000502"
         yes    14107    eco14.1702000504    "PWG:14; HUC:1702000504"
         yes    14108    eco14.1702000505    "PWG:14; HUC:1702000505"
         yes    14109    eco14.1702000615    "PWG:14; HUC:1702000615"
         yes    14110    eco14.1702000616    "PWG:14; HUC:1702000616"
         yes    14111    eco14.1702000617    "PWG:14; HUC:1702000617"
         yes    14112    eco14.1702000618    "PWG:14; HUC:1702000618"
         yes    14113    eco14.1702000619    "PWG:14; HUC:1702000619"
         yes    14114    eco14.170200062    "PWG:14; HUC:170200062"
         yes    14115    eco14.1702000621    "PWG:14; HUC:1702000621"
         yes    14116    eco14.1702000622    "PWG:14; HUC:1702000622"
         yes    14117    eco14.1702000701    "PWG:14; HUC:1702000701"
         yes    14118    eco14.1702000713    "PWG:14; HUC:1702000713"
         yes    14119    eco14.1702000714    "PWG:14; HUC:1702000714"
         yes    14120    eco14.1702000718    "PWG:14; HUC:1702000718"
         yes    14121    eco14.1702000719    "PWG:14; HUC:1702000719"
         yes    14122    eco14.170200072    "PWG:14; HUC:170200072"
         yes    14123    eco14.1702000801    "PWG:14; HUC:1702000801"
         yes    14124    eco14.1702000802    "PWG:14; HUC:1702000802"
         yes    14125    eco14.1702000803    "PWG:14; HUC:1702000803"
         yes    14126    eco14.1702000804    "PWG:14; HUC:1702000804"
         yes    14127    eco14.1702000805    "PWG:14; HUC:1702000805"
         yes    14128    eco14.1702000806    "PWG:14; HUC:1702000806"
         yes    14129    eco14.1702000807    "PWG:14; HUC:1702000807"
         yes    14130    eco14.1702000901    "PWG:14; HUC:1702000901"
         yes    14131    eco14.1702000902    "PWG:14; HUC:1702000902"
         yes    14132    eco14.1711000505    "PWG:14; HUC:1711000505"
         yes    15133    eco15.170200062    "PWG:15; HUC:170200062"
         yes    15134    eco15.1702000701    "PWG:15; HUC:1702000701"
         yes    15135    eco15.1702000713    "PWG:15; HUC:1702000713"
         yes    15136    eco15.1702000714    "PWG:15; HUC:1702000714"
         yes    15137    eco15.1702000718    "PWG:15; HUC:1702000718"
         yes    15138    eco15.1702000719    "PWG:15; HUC:1702000719"
         yes    15139    eco15.170200072    "PWG:15; HUC:170200072"
         yes    15140    eco15.1702000801    "PWG:15; HUC:1702000801"
         yes    15141    eco15.1702000802    "PWG:15; HUC:1702000802"
         yes    15142    eco15.1702000803    "PWG:15; HUC:1702000803"
         yes    15143    eco15.1702000804    "PWG:15; HUC:1702000804"
         yes    15144    eco15.1702000805    "PWG:15; HUC:1702000805"
         yes    15145    eco15.1702000806    "PWG:15; HUC:1702000806"
         yes    15146    eco15.1702000807    "PWG:15; HUC:1702000807"
         yes    15147    eco15.1702000901    "PWG:15; HUC:1702000901"
         yes    15148    eco15.1702000902    "PWG:15; HUC:1702000902"
         yes    15149    eco15.1702000903    "PWG:15; HUC:1702000903"
         yes    15150    eco15.1711000505    "PWG:15; HUC:1711000505"
         yes    20151    eco20.1702000209    "PWG:20; HUC:1702000209"
         yes    20152    eco20.1702000212    "PWG:20; HUC:1702000212"
         yes    20153    eco20.1702000401    "PWG:20; HUC:1702000401"
         yes    20154    eco20.1702000402    "PWG:20; HUC:1702000402"
         yes    20155    eco20.1702000501    "PWG:20; HUC:1702000501"
         yes    20156    eco20.1702000502    "PWG:20; HUC:1702000502"
         yes    20157    eco20.1702000504    "PWG:20; HUC:1702000504"
         yes    20158    eco20.1702000505    "PWG:20; HUC:1702000505"
         yes    20159    eco20.1702000615    "PWG:20; HUC:1702000615"
         yes    20160    eco20.1702000616    "PWG:20; HUC:1702000616"
         yes    20161    eco20.1702000617    "PWG:20; HUC:1702000617"
         yes    20162    eco20.1702000618    "PWG:20; HUC:1702000618"
         yes    20163    eco20.1702000619    "PWG:20; HUC:1702000619"
         yes    20164    eco20.170200062    "PWG:20; HUC:170200062"
         yes    20165    eco20.1702000621    "PWG:20; HUC:1702000621"
         yes    20166    eco20.1702000622    "PWG:20; HUC:1702000622"
         yes    20167    eco20.1702000718    "PWG:20; HUC:1702000718"
         yes    20168    eco20.1702000719    "PWG:20; HUC:1702000719"
         yes    20169    eco20.170200072    "PWG:20; HUC:170200072"
         yes    20170    eco20.1702000801    "PWG:20; HUC:1702000801"
         yes    20171    eco20.1702000802    "PWG:20; HUC:1702000802"
         yes    20172    eco20.1702000803    "PWG:20; HUC:1702000803"
         yes    20173    eco20.1702000804    "PWG:20; HUC:1702000804"
         yes    20174    eco20.1702000805    "PWG:20; HUC:1702000805"
         yes    20175    eco20.1702000806    "PWG:20; HUC:1702000806"
         yes    20176    eco20.1702000807    "PWG:20; HUC:1702000807"
         yes    20177    eco20.1702000902    "PWG:20; HUC:1702000902"
         yes    20178    eco20.1702000903    "PWG:20; HUC:1702000903"
         yes    30179    eco30.1702000209    "PWG:30; HUC:1702000209"
         yes    30180    eco30.1702000212    "PWG:30; HUC:1702000212"
         yes    30181    eco30.1702000401    "PWG:30; HUC:1702000401"
         yes    30182    eco30.1702000402    "PWG:30; HUC:1702000402"
         yes    30183    eco30.1702000501    "PWG:30; HUC:1702000501"
         yes    30184    eco30.1702000502    "PWG:30; HUC:1702000502"
         yes    30185    eco30.1702000505    "PWG:30; HUC:1702000505"
         yes    30186    eco30.1702000615    "PWG:30; HUC:1702000615"
         yes    30187    eco30.1702000616    "PWG:30; HUC:1702000616"
         yes    30188    eco30.1702000617    "PWG:30; HUC:1702000617"
         yes    30189    eco30.1702000618    "PWG:30; HUC:1702000618"
         yes    30190    eco30.1702000619    "PWG:30; HUC:1702000619"
         yes    30191    eco30.170200062    "PWG:30; HUC:170200062"
         yes    30192    eco30.1702000621    "PWG:30; HUC:1702000621"
         yes    30193    eco30.1702000622    "PWG:30; HUC:1702000622"
         yes    30194    eco30.1702000701    "PWG:30; HUC:1702000701"
         yes    30195    eco30.1702000713    "PWG:30; HUC:1702000713"
         yes    30196    eco30.1702000714    "PWG:30; HUC:1702000714"
         yes    30197    eco30.1702000718    "PWG:30; HUC:1702000718"
         yes    30198    eco30.1702000719    "PWG:30; HUC:1702000719"
         yes    30199    eco30.170200072    "PWG:30; HUC:170200072"
         yes    30200    eco30.1702000801    "PWG:30; HUC:1702000801"
         yes    30201    eco30.1702000802    "PWG:30; HUC:1702000802"
         yes    30202    eco30.1702000803    "PWG:30; HUC:1702000803"
         yes    30203    eco30.1702000804    "PWG:30; HUC:1702000804"
         yes    30204    eco30.1702000805    "PWG:30; HUC:1702000805"
         yes    30205    eco30.1702000806    "PWG:30; HUC:1702000806"
         yes    30206    eco30.1702000807    "PWG:30; HUC:1702000807"
         yes    30207    eco30.1702000901    "PWG:30; HUC:1702000901"
         yes    30208    eco30.1702000902    "PWG:30; HUC:1702000902"
         yes    30209    eco30.1702000903    "PWG:30; HUC:1702000903"
         yes    30210    eco30.1711000505    "PWG:30; HUC:1711000505"
         yes    40211    eco40.1702000209    "PWG:40; HUC:1702000209"
         yes    40212    eco40.1702000212    "PWG:40; HUC:1702000212"
         yes    40213    eco40.1702000401    "PWG:40; HUC:1702000401"
         yes    40214    eco40.1702000402    "PWG:40; HUC:1702000402"
         yes    40215    eco40.1702000501    "PWG:40; HUC:1702000501"
         yes    40216    eco40.1702000615    "PWG:40; HUC:1702000615"
         yes    40217    eco40.1702000616    "PWG:40; HUC:1702000616"
         yes    40218    eco40.1702000617    "PWG:40; HUC:1702000617"
         yes    40219    eco40.1702000618    "PWG:40; HUC:1702000618"
         yes    40220    eco40.170200062    "PWG:40; HUC:170200062"
         yes    40221    eco40.1702000621    "PWG:40; HUC:1702000621"
         yes    40222    eco40.1702000622    "PWG:40; HUC:1702000622"
         yes    40223    eco40.1702000701    "PWG:40; HUC:1702000701"
         yes    40224    eco40.1702000713    "PWG:40; HUC:1702000713"
         yes    40225    eco40.1702000714    "PWG:40; HUC:1702000714"
         yes    40226    eco40.1702000718    "PWG:40; HUC:1702000718"
         yes    40227    eco40.1702000719    "PWG:40; HUC:1702000719"
         yes    40228    eco40.170200072    "PWG:40; HUC:170200072"
         yes    40229    eco40.1702000801    "PWG:40; HUC:1702000801"
         yes    40230    eco40.1702000802    "PWG:40; HUC:1702000802"
         yes    40231    eco40.1702000803    "PWG:40; HUC:1702000803"
