LandisData   "Ecoregions"

>>      	Map
>> 	Active  Code	Name   Description
>> 	------  ---- 	-----  -----------
         yes    15096    eco15.1711000602    "PWG:15; HUC:1711000602"
         yes    15097    eco15.1711000901    "PWG:15; HUC:1711000901"
         yes    15098    eco15.1711000904    "PWG:15; HUC:1711000904"
         yes    20099    eco20.1702000902    "PWG:20; HUC:1702000902"
         yes    20100    eco20.1702000903    "PWG:20; HUC:1702000903"
         yes    20101    eco20.1702001001    "PWG:20; HUC:1702001001"
         yes    20102    eco20.1702001002    "PWG:20; HUC:1702001002"
         yes    20103    eco20.1702001003    "PWG:20; HUC:1702001003"
         yes    20104    eco20.1702001101    "PWG:20; HUC:1702001101"
         yes    20105    eco20.1702001102    "PWG:20; HUC:1702001102"
         yes    20106    eco20.1702001103    "PWG:20; HUC:1702001103"
         yes    20107    eco20.1702001104    "PWG:20; HUC:1702001104"
         yes    20108    eco20.1702001105    "PWG:20; HUC:1702001105"
         yes    20109    eco20.1702001106    "PWG:20; HUC:1702001106"
         yes    20110    eco20.1702001107    "PWG:20; HUC:1702001107"
         yes    20111    eco20.1703000102    "PWG:20; HUC:1703000102"
         yes    20112    eco20.1703000104    "PWG:20; HUC:1703000104"
         yes    20113    eco20.1703000105    "PWG:20; HUC:1703000105"
         yes    30114    eco30.1702000902    "PWG:30; HUC:1702000902"
         yes    30115    eco30.1702000903    "PWG:30; HUC:1702000903"
         yes    30116    eco30.1702001001    "PWG:30; HUC:1702001001"
         yes    30117    eco30.1702001002    "PWG:30; HUC:1702001002"
         yes    30118    eco30.1702001003    "PWG:30; HUC:1702001003"
         yes    30119    eco30.1702001101    "PWG:30; HUC:1702001101"
         yes    30120    eco30.1702001102    "PWG:30; HUC:1702001102"
         yes    30121    eco30.1702001103    "PWG:30; HUC:1702001103"
         yes    30122    eco30.1702001104    "PWG:30; HUC:1702001104"
         yes    30123    eco30.1702001105    "PWG:30; HUC:1702001105"
         yes    30124    eco30.1702001106    "PWG:30; HUC:1702001106"
         yes    30125    eco30.1702001107    "PWG:30; HUC:1702001107"
         yes    30126    eco30.1703000101    "PWG:30; HUC:1703000101"
         yes    30127    eco30.1703000102    "PWG:30; HUC:1703000102"
         yes    30128    eco30.1703000104    "PWG:30; HUC:1703000104"
         yes    30129    eco30.1703000105    "PWG:30; HUC:1703000105"
         yes    30130    eco30.1711000602    "PWG:30; HUC:1711000602"
         yes    30131    eco30.1711000901    "PWG:30; HUC:1711000901"
