,SpeciesCode,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass,Grass,TemperatureCurve1,TemperatureCurve2,TemperatureCurve3,TemperatureCurve4,FractionANPPtoLeaf,LeafBiomassToLAI,KLAI,MaximumLAI,MoistureCurve1,MoistureCurve2,MoistureCurve3,MoistureCurve4,WoodDecayRate,MonthlyWoodMortality,LongevityMortalityShape,FoliageDropMonth,CoarseRootFraction,FineRootFraction,LightLAIShape,LightLAIScale,LightLAILocation,LightLAIAdjust
20,PinuPond,FALSE,250,5500,-8,0.95,5,FALSE,0.25,0.22,0.28,0.3,50,48,400,220,70,200,16516,FALSE,20,37,1,5,0.3,-0.8,22000,7,0,0.6,0.5,0,0.11,5.00E-05,15,10,0.3,0.76,1,4.223456869,0,1.402744025
21,PopuBals,TRUE,500,5500,-7,0.4,1,TRUE,0.2,0.15,0.28,0.32,22,25,200,100,30,85,11418,FALSE,20,38,1,5,0.32,-0.8,15000,5,0,0.7,0.7,0,0.11,5.00E-05,15,10,0.3,0.76,0.067936378,0.012660815,0.001571372,10
22,PopuTrem,TRUE,300,3500,-15,0.8,1,TRUE,0.2,0.22,0.2,0.25,25,62,200,100,70,75,8359,FALSE,16,36,5,1,0.32,-0.8,26000,6,0,1.5,0.8,0,0.11,5.00E-05,15,10,0.3,0.76,0.294953236,0.124339064,0,3.376317985
23,PrunEmar,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,20,25,200,100,30,75,1242,FALSE,16,36,5,1,0.32,-0.8,26000,6,0,1.5,0.8,0,0.11,5.00E-05,15,10,0.3,0.76,1.834550594,2.221211795,0.104037902,0.404807233
24,PseuMenz,FALSE,300,4500,-8,0.85,8,TRUE,0.25,0.3,0.28,0.3,45,45,200,100,80,200,27786,FALSE,16,33,3,3,0.3,-0.8,33000,8,0,0.7,0.6,0,0.11,5.00E-05,15,10,0.3,0.76,0.954394928,28.10542567,0,2.101051057
25,QuerGarr,FALSE,700,5000,-4,0.95,1,TRUE,0.2,0.22,0.25,0.28,30,40,350,100,50,100,8320,FALSE,20,38,1,5,0.32,-0.8,15000,5,0,0.7,0.7,0,0.11,5.00E-05,15,10,0.3,0.76,0.86461552,2.934822753,0,1.145053427
26,TaxuBrev,FALSE,400,2500,-4,0.5,4,TRUE,0.3,0.22,0.25,0.25,37,37,500,220,90,100,1050,FALSE,16,33,3,3,0.3,-0.8,33000,8,0,0.7,0.6,0,0.11,5.00E-05,15,10,0.3,0.76,2.005008753,13.57469208,0.004638319,1.118969557
27,ThujPlic,FALSE,250,3000,-11,0.6,6,FALSE,0.3,0.21,0.28,0.32,56,29,400,220,90,200,21463,FALSE,16,33,3,3,0.3,-0.8,33000,8,0,0.7,0.6,0,0.11,5.00E-05,15,10,0.3,0.76,1.468132459,14.77999875,0,1.357170948
28,TsugHete,FALSE,250,3000,-12,0.5,5,FALSE,0.2,0.22,0.28,0.32,45,50,400,220,90,175,37912,FALSE,16,33,3,3,0.3,-0.8,33000,8,0,0.7,0.6,0,0.11,5.00E-05,15,10,0.3,0.76,1.801784168,17.93647677,0,1.420976151
29,TsugMert,FALSE,200,2500,-18,0.82,5,TRUE,0.25,0.2,0.25,0.25,80,80,333,220,90,125,22617,FALSE,14,27,5,1,0.3,-0.8,25000,6,0,0.8,0.7,0,0.11,5.00E-05,15,10,0.3,0.76,2.140496908,5.44267878,0.048709595,0.509474576
30,NonFxr_Resprt,FALSE,200,4500,-10,0.95,2,TRUE,0.25,0.2,0.25,0.25,60,59,333,220,100,50,4000,FALSE,22,40,2,2,0.3,-0.8,4000,2,0,0.5,0.6,0,0.11,5.00E-05,15,10,0.3,0.76,0.9,1.2,0.25,5
31,NonFxr_Seed,FALSE,200,4500,-10,0.95,2,FALSE,0.25,0.2,0.25,0.25,60,59,333,220,100,50,4000,FALSE,22,40,2,2,0.3,-0.8,4000,2,0,0.5,0.6,0,0.11,5.00E-05,15,10,0.3,0.76,0.9,1.2,0.25,5
32,Nfixer_Resprt,TRUE,200,4500,-10,0.95,2,TRUE,0.25,0.2,0.25,0.25,20,28,333,100,50,50,4000,FALSE,22,40,2,2,0.3,-0.8,4000,2,0,0.5,0.6,0,0.11,5.00E-05,15,10,0.3,0.76,0.9,1.2,0.25,5
33,Grass_Forb,TRUE,200,5000,-12,1,1,TRUE,0.25,0.2,0.25,0.25,20,28,333,100,50,20,5000,TRUE,22,40,2,2,0.3,-0.8,4000,2,0,0.5,0.6,0,0.11,5.00E-05,15,10,0.3,0.76,0.9,1.2,0.25,2.75
